,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Pacific Rim,/title/tt1663662/?ref_=bo_cso_table_119,719,Pacific Rim,"$101,802,906",2013,37285325,245000000,101802906,309200000,411002906,131.0,PG-13,July,"['Action', 'Adventure', 'Sci-Fi']"
Journey to the Center of the Earth,/title/tt0373051/?ref_=bo_cso_table_120,720,Journey to the Center of the Earth,"$101,704,370",2008,21018141,245000000,101704370,142528318,244232688,93.0,PG,July,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Gone in 60 Seconds,/title/tt0187078/?ref_=bo_cso_table_121,721,Gone in 60 Seconds,"$101,648,571",2000,25336048,245000000,101648571,135553728,237202299,118.0,PG-13,June,"['Action', 'Crime', 'Thriller']"
Maverick,/title/tt0110478/?ref_=bo_cso_table_122,722,Maverick,"$101,631,272",1994,17248545,245000000,101631272,81400000,183031272,127.0,PG,May,"['Action', 'Adventure', 'Comedy', 'Thriller', 'Western']"
Sleeping with the Enemy,/title/tt0102945/?ref_=bo_cso_table_123,723,Sleeping with the Enemy,"$101,599,005",1991,13777943,245000000,101599005,73400000,174999005,99.0,R,February,"['Drama', 'Thriller']"
The Equalizer,/title/tt0455944/?ref_=bo_cso_table_124,724,The Equalizer,"$101,530,738",2014,34137828,245000000,101530738,90800000,192330738,132.0,R,September,"['Action', 'Crime', 'Thriller']"
This Is the End,/title/tt1245492/?ref_=bo_cso_table_125,725,This Is the End,"$101,470,202",2013,20719162,245000000,101470202,24571120,126041322,107.0,R,June,['Comedy']
Eagle Eye,/title/tt1059786/?ref_=bo_cso_table_126,726,Eagle Eye,"$101,440,743",2008,29150721,245000000,101440743,77326640,178767383,118.0,PG-13,September,"['Action', 'Mystery', 'Thriller']"
The Prince of Egypt,/title/tt0120794/?ref_=bo_cso_table_127,727,The Prince of Egypt,"$101,413,188",1998,14524321,245000000,101413188,117200000,218613188,99.0,PG,December,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']"
Scream 2,/title/tt0120082/?ref_=bo_cso_table_128,728,Scream 2,"$101,363,301",1997,32926342,245000000,101363301,71000000,172363301,,R,December,"['Horror', 'Mystery']"
Stir Crazy,/title/tt0081562/?ref_=bo_cso_table_129,729,Stir Crazy,"$101,300,000",1980,8691886,245000000,101300000,101300000,0,111.0,,December,"['Comedy', 'Crime']"
